customer_id,cluster_id,segment_name,segment_confidence,segment_profile.avg_age,segment_profile.avg_income,segment_profile.primary_location_type,segment_profile.primary_occupation,segment_profile.digital_literacy_level,segment_profile.risk_appetite,segment_profile.income_stability,segment_profile.financial_literacy,individual_traits.age_vs_segment,individual_traits.income_vs_segment,individual_traits.digital_vs_segment,individual_traits.risk_vs_segment,predicted_behaviors.product_openness,predicted_behaviors.channel_preference,predicted_behaviors.decision_speed,predicted_behaviors.price_sensitivity,predicted_behaviors.trust_requirement,engagement_strategy.primary_channel,engagement_strategy.message_complexity,engagement_strategy.relationship_building,engagement_strategy.documentation_support,engagement_strategy.follow_up_frequency
22681,5,Middle-aged Professional - Rural,0.8607024608419319,39.9,454.0,rural,professional,0.17,Low,0.015,0.42,above,above,below,typical,moderate,in_person,moderate,low,high,field_visit,moderate,essential,high,regular
20823,2,Middle-aged Professional - Rural,0.8622620276257924,36.7,4262.0,rural,professional,0.22,Medium,0.04,0.3,typical,typical,above,typical,moderate,in_person,moderate,moderate,high,field_visit,simple,essential,high,regular
18642,0,Middle-aged Skilled_Worker - Rural,0.8629199343692731,34.8,1382.0,rural,skilled_worker,0.79,Medium,0.02,0.79,below,above,typical,typical,high,digital,fast,low,moderate,digital,moderate,moderate,high,minimal
20607,2,Middle-aged Professional - Rural,0.8649369081054673,36.7,4262.0,rural,professional,0.22,Medium,0.035,0.41,above,below,below,typical,low,in_person,moderate,high,high,field_visit,moderate,essential,high,regular
9083,5,Middle-aged Professional - Rural,0.8566715477932134,39.9,454.0,rural,professional,0.17,Medium,0.0,0.41,typical,below,below,typical,low,in_person,moderate,high,high,field_visit,moderate,essential,high,regular
8379,5,Middle-aged Professional - Rural,0.8578181166243275,39.9,454.0,rural,professional,0.17,Medium,0.0,0.42,typical,below,below,typical,low,in_person,moderate,high,high,field_visit,moderate,essential,high,regular
6184,2,Middle-aged Professional - Rural,0.8648900016921961,36.7,4262.0,rural,professional,0.22,Medium,0.05,0.55,above,above,typical,typical,high,in_person,moderate,low,high,field_visit,moderate,essential,high,regular
8585,3,Middle-aged Professional - Rural,0.8581930259660004,38.0,273.0,rural,professional,0.78,Low,0.0,0.79,above,below,typical,typical,moderate,digital,moderate,high,moderate,digital,simple,moderate,high,minimal
16624,2,Middle-aged Professional - Rural,0.8637074488118897,36.7,4262.0,rural,professional,0.22,Medium,0.042,0.29,below,typical,above,typical,moderate,in_person,fast,moderate,high,field_visit,moderate,essential,high,regular
2636,1,Middle-aged Salaried - Rural,0.8610578065369493,34.9,1253.0,rural,salaried,0.22,Medium,0.0,0.2,typical,below,typical,typical,moderate,in_person,moderate,high,high,field_visit,simple,essential,high,regular
10749,3,Middle-aged Professional - Rural,0.8580878334623282,38.0,273.0,rural,professional,0.78,Medium,0.0,0.79,typical,below,typical,typical,moderate,digital,moderate,high,moderate,digital,moderate,moderate,high,minimal
9942,5,Middle-aged Professional - Rural,0.8605209395707967,39.9,454.0,rural,professional,0.17,Medium,0.0,0.2,below,below,above,typical,moderate,in_person,fast,high,high,field_visit,moderate,essential,high,regular
31662,4,Middle-aged Salaried - Rural,0.8637630603132519,35.4,4312.0,rural,salaried,0.78,Medium,0.04,0.79,typical,typical,typical,typical,moderate,digital,moderate,moderate,moderate,digital,simple,moderate,high,minimal
28110,7,Middle-aged Salaried - Rural,0.9167278661855217,36.0,6814.0,rural,salaried,0.54,Medium,0.08,0.83,typical,above,above,typical,high,digital,moderate,low,moderate,digital,simple,moderate,high,minimal
28229,2,Middle-aged Professional - Rural,0.8635969543882147,36.7,4262.0,rural,professional,0.22,Medium,0.05,0.21,below,above,typical,typical,high,in_person,fast,low,high,field_visit,moderate,essential,high,regular
13397,1,Middle-aged Salaried - Rural,0.8601766314567281,34.9,1253.0,rural,salaried,0.22,Medium,0.01,0.29,below,below,above,typical,moderate,in_person,fast,high,high,field_visit,simple,essential,high,regular
4712,7,Middle-aged Salaried - Rural,0.9161559553961546,36.0,6814.0,rural,salaried,0.54,Medium,0.06,0.13,typical,typical,below,typical,moderate,in_person,moderate,moderate,high,field_visit,simple,essential,high,regular
23093,0,Middle-aged Skilled_Worker - Rural,0.8646824289552855,34.8,1382.0,rural,skilled_worker,0.79,Medium,0.015,0.79,typical,typical,typical,typical,moderate,digital,moderate,moderate,moderate,digital,moderate,moderate,high,minimal
9359,5,Middle-aged Professional - Rural,0.8584181343761536,39.9,454.0,rural,professional,0.17,Medium,0.0,0.29,typical,below,above,typical,moderate,in_person,moderate,high,high,field_visit,moderate,essential,high,regular
5175,1,Middle-aged Salaried - Rural,0.8623000129535219,34.9,1253.0,rural,salaried,0.22,Medium,0.005,0.25,typical,below,typical,typical,moderate,in_person,moderate,high,high,field_visit,simple,essential,high,regular
3556,0,Middle-aged Skilled_Worker - Rural,0.863464421480727,34.8,1382.0,rural,skilled_worker,0.79,Medium,0.005,1.0,below,below,typical,typical,moderate,digital,fast,high,moderate,digital,moderate,moderate,high,minimal
24734,5,Middle-aged Professional - Rural,0.86047922498118,39.9,454.0,rural,professional,0.17,Medium,0.015,0.47,typical,above,typical,typical,high,in_person,moderate,low,high,field_visit,moderate,essential,high,regular
7061,5,Middle-aged Professional - Rural,0.8619579433072195,39.9,454.0,rural,professional,0.17,Medium,0.015,0.45,typical,above,typical,typical,high,in_person,moderate,low,high,field_visit,moderate,essential,high,regular
12591,5,Middle-aged Professional - Rural,0.8575715768070798,39.9,454.0,rural,professional,0.17,Medium,0.0,0.16,typical,below,typical,typical,moderate,in_person,moderate,high,high,field_visit,simple,essential,high,regular
33160,2,Middle-aged Professional - Rural,0.8615302366198136,36.7,4262.0,rural,professional,0.22,Medium,0.04,0.23,below,typical,typical,typical,moderate,in_person,moderate,moderate,high,field_visit,moderate,essential,high,regular
9309,3,Middle-aged Professional - Rural,0.8605443289862585,38.0,273.0,rural,professional,0.78,Medium,0.0,0.79,below,below,typical,typical,moderate,digital,fast,high,moderate,digital,simple,moderate,high,minimal
13289,6,Middle-aged Skilled_Worker - Rural,0.8769768821948447,38.8,3962.0,rural,skilled_worker,0.79,Medium,0.03,1.0,typical,below,typical,typical,moderate,digital,moderate,high,moderate,digital,moderate,moderate,high,minimal
11899,3,Middle-aged Professional - Rural,0.8588074371955126,38.0,273.0,rural,professional,0.78,Medium,0.0,0.79,typical,below,typical,typical,moderate,digital,moderate,high,moderate,digital,simple,moderate,high,minimal
10698,3,Middle-aged Professional - Rural,0.85968441580862,38.0,273.0,rural,professional,0.78,Medium,0.0,0.79,below,below,typical,typical,moderate,digital,moderate,high,moderate,digital,simple,moderate,high,minimal
2598,1,Middle-aged Salaried - Rural,0.8670007127490571,34.9,1253.0,rural,salaried,0.22,Low,0.015,0.55,above,above,typical,typical,high,in_person,moderate,low,high,field_visit,moderate,essential,high,regular
38233,7,Middle-aged Salaried - Rural,0.9165518821277964,36.0,6814.0,rural,salaried,0.54,Medium,0.065,1.0,below,typical,above,typical,moderate,digital,fast,moderate,moderate,digital,moderate,moderate,high,minimal
23521,0,Middle-aged Skilled_Worker - Rural,0.8654910358025416,34.8,1382.0,rural,skilled_worker,0.79,Medium,0.02,0.79,above,above,typical,typical,high,digital,moderate,low,moderate,digital,moderate,moderate,high,minimal
